,created_at,member_id,screen_name,text,textLength,verified_type,user_description,user
0,2020-03-02,4478060432359830,科技小天,震惊！！ 开天辟地之作， #苹果# 慌了， #雷军# 傻眼了，张老板坐不住了， #黄章# 也被迫出山了 缺德视频又来了 科技小天的微博视频,140,0,私信看到都会回！感谢关注 ！！爱你们！！！,"{'id': 1967280501, 'screen_name': '科技小天', 'profile_image_url': 'https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/75425175ly8gb5thgu9kdj20ru0rudh8.jpg?KID=imgbed,tva&Expires=1583219910&ssig=imaLAlooTC', 'profile_url': 'https://m.weibo.cn/u/1967280501?uid=1967280501&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 6864, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '知名数码博主', 'close_blue_v': False, 'description': '私信看到都会回！感谢关注 ！！爱你们！！！', 'gender': 'm', 'mbtype': 12, 'urank': 35, 'mbrank': 4, 'follow_me': False, 'following': False, 'followers_count': 202746, 'follow_count': 1303, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx1.sinaimg.cn/orj480/75425175ly8gb5thgu9kdj20ru0rudh8.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'travel_2017': 1, 'user_name_certificate': 1, 'wenda_v2': 1, 'dailv_2018': 1, 'hongbaofei_2019': 1, 'dailv_2019': 1, 'china_2019': 1, 'macao_2019': 1, 'china_2019_2': 1, 'hongbao_2020': 2, 'feiyan_2020': 1, 'daka_2020': 1}}"
1,2020-02-28,4477057352854267,DannyData小丹尼,库克的苹果仍创新。 #苹果# #乔布斯# DannyData小丹尼的微博视频,55,0,dannydata.com,"{'id': 2679375953, 'screen_name': 'DannyData小丹尼', 'profile_image_url': 'https://tvax4.sinaimg.cn/crop.0.0.1002.1002.180/9fb40851ly8g8xcf3575fj20ru0ru74h.jpg?KID=imgbed,tva&Expires=1583219910&ssig=ggKLSYLe%2FV', 'profile_url': 'https://m.weibo.cn/u/2679375953?uid=2679375953&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 772, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '财经视频自媒体', 'close_blue_v': False, 'description': 'dannydata.com', 'gender': 'm', 'mbtype': 12, 'urank': 31, 'mbrank': 2, 'follow_me': False, 'following': False, 'followers_count': 52412, 'follow_count': 76, 'cover_image_phone': 'https://wx2.sinaimg.cn/crop.0.0.640.640.640/9fb40851ly1gajku0drn3j20u00u0wxh.jpg', 'avatar_hd': 'https://wx4.sinaimg.cn/orj480/9fb40851ly8g8xcf3575fj20ru0ru74h.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1}}"
2,2020-03-02,4478235738328329,科技君的眼镜,#苹果# 年度股东大会召开，库克称疫情仍是挑战，要保持警惕！ 科技君的眼镜的微博视频,77,0,科学实验视频,"{'id': 6086153006, 'screen_name': '科技君的眼镜', 'profile_image_url': 'https://tva1.sinaimg.cn/crop.0.4.355.355.180/006DSSqajw8fb0hpeflepj30hs0a0wg0.jpg?KID=imgbed,tva&Expires=1583219910&ssig=5Dyii7vbsq', 'profile_url': 'https://m.weibo.cn/u/6086153006?uid=6086153006&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 15210, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '微博泛科普视频自媒体', 'close_blue_v': False, 'description': '科学实验视频', 'gender': 'm', 'mbtype': 11, 'urank': 4, 'mbrank': 4, 'follow_me': False, 'following': False, 'followers_count': 339768, 'follow_count': 73, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://ww1.sinaimg.cn/orj480/006DSSqajw8fb0hpeflepj30hs0a0wg0.jpg', 'like': False, 'like_me': False, 'badge': {'user_name_certificate': 1}}"
3,2020-03-02,4478125188450007,互联网八哥,再次折戟！苹果突围失败！针对苹果成立的统一充电口法案还未实施，欧盟又再一次掀起对智能手机的改革。过去一个月，尽管苹果多次表示抗议，但欧盟议会还是以压倒性多票通过了新规，为欧盟各国的移动设备统一标准。如果说改掉Lightning接口换上USB-C的决定宣告苹果突围失败，那强制iPhone使用可拆卸电池 ... 全文,583,0,每日一扒，看不一样的互联网,"{'id': 7258446663, 'screen_name': '互联网八哥', 'profile_image_url': 'https://tvax1.sinaimg.cn/crop.0.0.512.512.180/007VdHynly8ga6klbpmo8j30e80e8dg1.jpg?KID=imgbed,tva&Expires=1583219910&ssig=9A2aycxPhe', 'profile_url': 'https://m.weibo.cn/u/7258446663?uid=7258446663&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 1392, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '互联网资讯博主 头条文章作者', 'close_blue_v': False, 'description': '每日一扒，看不一样的互联网', 'gender': 'm', 'mbtype': 12, 'urank': 9, 'mbrank': 3, 'follow_me': False, 'following': False, 'followers_count': 660744, 'follow_count': 133, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx1.sinaimg.cn/orj480/007VdHynly8ga6klbpmo8j30e80e8dg1.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'user_name_certificate': 1, 'status_visible': 1, 'china_2019': 1, 'hongkong_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}"
4,2020-03-02,4478064711058365,潮玩生活_张大喵,近日，苹果在日本发布了全新的动画广告视频，在各种动漫场景中展示了MacBook和AirPods。宣传片中，苹果还换上了其它logo，比如心形、梨形、两次咬苹果。视频重点表达了MacBook是多么常见和易于识别~ #潮玩生活# #苹果# （视频来源于网络） 潮玩生活_张大喵的微博视频,248,-1,美妆、球鞋、数码、潮流好物这里都有～我是《潮玩生活》小编--张大喵。,"{'id': 7382535180, 'screen_name': '潮玩生活_张大喵', 'profile_image_url': 'https://tvax2.sinaimg.cn/crop.247.76.900.900.180/0083CmE4ly8gbgycaa77cj31900u0ju8.jpg?KID=imgbed,tva&Expires=1583219910&ssig=DZXGk6tw0N', 'profile_url': 'https://m.weibo.cn/u/7382535180?uid=7382535180&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 256, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '美妆、球鞋、数码、潮流好物这里都有～我是《潮玩生活》小编--张大喵。', 'gender': 'f', 'mbtype': 12, 'urank': 0, 'mbrank': 2, 'follow_me': False, 'following': False, 'followers_count': 181110, 'follow_count': 337, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx2.sinaimg.cn/orj480/0083CmE4ly8gbgycaa77cj31900u0ju8.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'user_name_certificate': 1, 'wenda_v2': 1, 'relation_display': 1, 'feiyan_2020': 1}}"
5,2020-03-02,4478069702350962,金沅宝Gold,今天的成交可以，达到去年平年水平了 #期货# #股市# #螺纹钢# #铁矿石# #PTA# #豆粕# #原油# #苹果# #菜粕#,101,0,没有时间谈共振，离开突破谈背离,"{'id': 2782068241, 'screen_name': '金沅宝Gold', 'profile_image_url': 'https://tva2.sinaimg.cn/crop.1.0.404.404.180/a5d2fe11jw1ew4jvbye9vj20bb0hqn0m.jpg?KID=imgbed,tva&Expires=1583219910&ssig=V9A6%2B52OWs', 'profile_url': 'https://m.weibo.cn/u/2782068241?uid=2782068241&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 16958, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '财经博主', 'close_blue_v': False, 'description': '没有时间谈共振，离开突破谈背离', 'gender': 'm', 'mbtype': 0, 'urank': 14, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 7359, 'follow_count': 245, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://ww2.sinaimg.cn/orj480/a5d2fe11jw1ew4jvbye9vj20bb0hqn0m.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'follow_whitelist_video': 1, 'super_star_2017': 1, 'panda': 1, 'user_name_certificate': 1, 'suishoupai_2018': 1, 'wenchuan_10th': 1, 'wenda_v2': 1, 'national_day_2018': 1, 'hongbaofei_2019': 1, 'china_2019': 1, 'hongkong_2019': 1, 'gongjiri_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}"
16,2020-03-01,4477653266735580,券妈妈优惠卷,【￥8.8】【闪魔】 #苹果# 超薄磨砂手机壳送钢化膜 【无门槛优惠券搜索】 网页链接 【10元券】微博专享限时领券,107,0,优惠网http://www.h618net.cn,"{'id': 6264726447, 'screen_name': '券妈妈优惠卷', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.960.960.180/006PY9wXly8fmoh8e86xmj30qo0qoabx.jpg?KID=imgbed,tva&Expires=1583219975&ssig=OCFyW%2B2caz', 'profile_url': 'https://m.weibo.cn/u/6264726447?uid=6264726447&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 4002, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '知名时尚博主', 'close_blue_v': False, 'description': '优惠网http://www.h618net.cn', 'gender': 'f', 'mbtype': 12, 'urank': 35, 'mbrank': 6, 'follow_me': False, 'following': False, 'followers_count': 416663, 'follow_count': 19056, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/638f41a8jw1f0ght8x08tj20hs0hsn21.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/006PY9wXly8fmoh8e86xmj30qo0qoabx.jpg', 'like': False, 'like_me': False, 'badge': {'panda': 1, 'user_name_certificate': 1, 'suishoupai_2018': 1, 'wenda_v2': 1, 'double11_2018': 1, 'suishoupai_2019': 1, 'wusi_2019': 1, 'shuang11_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1, 'daka_2020': 1}}"
17,2020-03-01,4477636149418655,可享而知,作为一个伪苹果粉丝，我对于苹果的理解一直都是生态意义上的，当然早期还是看中硬件层次。《鸟枪换炮，入手Macbook pro 顶配，我全面更换了这些配件》 #macbookpro# #苹果# 鸟枪换炮，入手Macbook pro 顶配，我全面更换了这些配件,182,0,可享而知科技有限公司创始人,"{'id': 1824054887, 'screen_name': '可享而知', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.640.640.180/6cb8de67ly8fy1kahw0gcj20hs0hsjsi.jpg?KID=imgbed,tva&Expires=1583219975&ssig=uQCHJDyymG', 'profile_url': 'https://m.weibo.cn/u/1824054887?uid=1824054887&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 1296, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': 'WeMedia联盟成员', 'close_blue_v': False, 'description': '可享而知科技有限公司创始人', 'gender': 'm', 'mbtype': 11, 'urank': 33, 'mbrank': 1, 'follow_me': False, 'following': False, 'followers_count': 8849, 'follow_count': 846, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/6cb8de67ly8fy1kahw0gcj20hs0hsjsi.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'wenda_v2': 1, 'hongbaofei_2019': 1}}"
18,2020-02-29,4477252865328791,科技标杆猪哥,#苹果# 中国人平均工作多久才能省出零用钱买iPhone11 pro max,63,0,知名数码博主,"{'id': 2893703447, 'screen_name': '科技标杆猪哥', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.996.996.180/ac7a6917ly8g78sckbetnj20ro0romzk.jpg?KID=imgbed,tva&Expires=1583219975&ssig=OGvaSvWpJ%2B', 'profile_url': 'https://m.weibo.cn/u/2893703447?uid=2893703447&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 3446, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '新鲜事作者 小米10超话主持人', 'close_blue_v': False, 'description': '知名数码博主', 'gender': 'f', 'mbtype': 11, 'urank': 38, 'mbrank': 4, 'follow_me': False, 'following': False, 'followers_count': 31142, 'follow_count': 853, 'cover_image_phone': 'https://wx3.sinaimg.cn/crop.0.0.640.640.640/ac7a6917gy1gc9ojw69bvj20u00u0gy7.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/ac7a6917ly8g78sckbetnj20ro0romzk.jpg', 'like': False, 'like_me': False, 'badge': {'gongyi_level': 1, 'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'wenda_v2': 1, 'qixi_2018': 1, 'hongbaofei_2019': 1, 'status_visible': 1, 'womensday_2018': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'shuang11_2019': 1, 'wbzy_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}"
19,2020-02-29,4477422387087425,酪禾糊,苹果手机的iCloud存储空间服务吃相也太恶心了吧！我不想要续费50GB的存储空间，想要降级，说好的随时取消存储空间方案，结果降级根本点不了完成？所以只能一直自动续费咯？ @苹果iPhone中文网 @中国消费者协会 @消费者报道 @CCTV315 #苹果# #iCloud#,230,-1,je un homme sait,"{'id': 5838019520, 'screen_name': '酪禾糊', 'profile_image_url': 'https://tvax4.sinaimg.cn/crop.97.1.244.244.180/006n5Jzaly8g67g478vw6j30c806w3z3.jpg?KID=imgbed,tva&Expires=1583219975&ssig=N%2BA7BWT7OY', 'profile_url': 'https://m.weibo.cn/u/5838019520?uid=5838019520&luicode=10000011&lfid=100103type%3D1%26q%3D%23%E8%8B%B9%E6%9E%9C%23', 'statuses_count': 4890, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': 'je un homme sait', 'gender': 'f', 'mbtype': 12, 'urank': 9, 'mbrank': 3, 'follow_me': False, 'following': False, 'followers_count': 211, 'follow_count': 402, 'cover_image_phone': 'https://wx1.sinaimg.cn/crop.0.0.640.640.640/006n5Jzagy1g8v2ak1peoj30n00n0aal.jpg', 'avatar_hd': 'https://wx4.sinaimg.cn/orj480/006n5Jzaly8g67g478vw6j30c806w3z3.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'travel_2017': 1, 'user_name_certificate': 1, 'suishoupai_2018': 5, 'worldcup_2018': 9, 'dailv_2018': 4, 'wbzy_2018': 1, 'memorial_2018': 1, 'hongbaofei_2019': 1, 'suishoupai_2019': 5, 'hongrenjie_2019': 1, 'china_2019': 1, 'dzwbqlx_2019': 2, 'gongjiri_2019': 1, 'hongbao_2020': 2}}"
