幽灵礼物,2020-02-27 21:13, 美股 美股盘前及欧洲市场。比利时彻底崩溃，欧洲股市暴跌。美股盘前：美股三大指数继续下挫，#特斯拉# 领跌  #微软# 大跌 ​
叶檀,2020-02-27 21:13,自动避险，雪崩就是那么容易！//@幽灵礼物 :道指出现崩溃式下跌，得益于电脑自动抛售，ETF组合砸盘，比人工下单要利索
Microsoft大爆炸,2020-02-26 12:29,Windows 10 邮件和日历应用全新图标已开始推送#微软# #电脑# #Windows 10# ​
燕山派,2020-10-03 07:20,#微软首款折叠屏手机# 昨晚微软发布会最大的亮点应该就是这货了，微软2020年要上市Surface Duo双屏手机（图1-3），很多人把它叫折叠屏手机，其实个人觉得应该叫翻屏手机或者双屏折叠手机，因为它的屏幕不是柔性可折叠的，而是配的两块屏，靠铰链翻转而已。而且这种设计其实早在2012年就有了，对，你 ​  c
Mango国,2020-10-03 07:20,#微软# 量子影响：教授下一代量子Quantum Impact- Teaching the next generation of quantum  L Mango国的微博视频 ​
小琪小琪不會下棋_,2020-10-03 07:20,我也不知道我为什么非得作死购买office 而不用WPS（买了后绝不后悔）我真是憨憨从来没用过surface的画图功能强烈推荐one note真的太好用了！！！（我真的是才知道有这个软件…）现在就等我的surface触控笔来了🉑#微软# #surface pro# ​
GPLPCN,2020-02-28 19:06,【#微软# 、#索尼# 等因新冠病毒 集体退出#游戏开发者大会# 】据悉，按计划，游戏开发者大会（#GDC# ）将于3月16-20日在美国旧金山举行，虽然主办方坚称游戏开发者大会（GDC）将“如期举行”，但出于对新型冠状病毒国际性暴发的担忧，许多知名游戏公司宣布退出大会。在会议前几周，索尼、艺电、Facebo ​  c
四月不是我的谎言丫,2020-02-28 16:53,#微软# @微软中国 请问一下，我的微软账户登不上去，我的所有office，账户都显示无法连接网络，登不上去电脑是surface  go. 有人懂吗？救救孩子，要开始上网课了 ​
河洛君,2020-02-28 16:42,#科技的温度# 【微软因担忧冠状病毒退出GDC游戏会议】Xbox制造商#微软# 今天宣布，它将不会参加今年在旧金山举行的游戏开发者大会，这凸显出人们对冠状病毒爆发的担忧。公司表示：经过全球卫生当局对指南的仔细审查，并出于谨慎考虑，我们做出了艰难的决定，退出参加2020年旧金山游戏开发者大会的决定 ​  c
科技叫兽,2020-02-27 16:51,#微软# 全新 Chromium 版 Edge 浏览器—新增隐私工具保护信息安全—轻松更改内容和页面布局—你可以创建希望在 Edge 中使用的语言列表并切换任何语言—通过添加扩展实现 Edge 的更多功能—可在 Mac、Android、iOS 和 Windows 等多种设备上安装并同步新版 Edge→_→L Microsoft大爆炸的微博视频 ​
Repubblicca,2020-02-27 10:24,Walking Cat再次近日分享了一组动图，展示了#微软# 双屏可折叠手机#Surface Duo# 的全新功能。这项新功能称之为Peek，能够在不完全打开设备的情况下查看通知。 ​
朕是猫猫,2020-02-26 19:00,#微软# Microsoft  Surface  Pro  i5（好像是忘记了相机一直显示不了我就按照指示一顿操作之后把camera设备给删了🙉我该怎么办🙉救个猫 ​
Blocklike超爱区块链,2020-02-26 10:46,一名前微软员工Kvashuk从前雇主那里盗走了价值1000万美元的数字货币，并用这笔资金来进行奢侈的购买行为，包括120万美元的湖边房屋和16万美元的特斯拉汽车，日前被判处18重罪。根据美国检察官办公室发布的消息，Kvashuk使用“比特币混币服务”来掩盖他转移到银行帐户中的资金来源，还使用了与其他员工 ​  c
英国军情六处,2020-02-24 09:30,比尔·盖茨 &amp; 史蒂夫·乔布斯 的对话#互联网# #苹果# #微软#
很省钱,2020-02-25 17:44,#微软# #Xbox# Series X将向前兼容老游戏。Xbox Series X主机使用了“新一代AMD定制处理器”，可以说是7nm Zen2 CPU核心及RDNA2架构GPU核心，GPU性能达到了12TFLOPS（12万亿次），是Xbox One性能的8倍，Xbox One X的2倍，另外GPU还支持VRS可变帧率技术。微软确认Xbox Series X将支持“四代”Xbox游戏 ​  c
机械BOY,2020-02-24 20:44,一直以来对便携办公本都有着很深的感情，之前联想的小新Air系列一直是手边常带的办公利器，在上手过Surface Laptop系列前，一直主观的认为这个系列的笔记本定位那么高会有很多人选择吗，真正上手以后被它各个方面的均衡性所折服，首先就是自家的系统针对自家的硬件的优化，最大化的开发了操作系统的各 ​  c
