,created_at,member_id,text,textLength,source,user,verified,screen_name,verified_type,user_description,longText,bid
0,2020-03-01 03:42:50,4477738171840551,想找星空图但是没找到称心的？ 那就自己画吧~ 用Procreate可以三秒做一张！ 【工具】iPad + Procreate + apple pencil 【方法】在Procreate里新建一个画布，调整背景颜色，一般星空就是深蓝紫色，然后选择「亮度」-「星空」画笔，挑一个画笔颜色（你希望的星星颜色），最后随便画几笔就可以了 ——— ... 全文,359,ppt365超话,"{'id': 1774015623, 'screen_name': '嘉文钱', 'profile_image_url': 'https://tvax2.sinaimg.cn/crop.34.24.538.538.180/69bd5487ly8g9ms31xpbvj20gk0gkdga.jpg?KID=imgbed,tva&Expires=1583145769&ssig=QDu9hRgsbg', 'profile_url': 'https://m.weibo.cn/u/1774015623?uid=1774015623&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 1956, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '设计美学博主 ppt365超话主持人', 'close_blue_v': False, 'description': 'PPT设计师，平面设计师，业余插画师，可以接稿', 'gender': 'm', 'mbtype': 12, 'urank': 47, 'mbrank': 7, 'follow_me': False, 'following': False, 'followers_count': 93819, 'follow_count': 681, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/9d44112bjw1f1xl1c10tuj20hs0hs0tw.jpg', 'avatar_hd': 'https://wx2.sinaimg.cn/orj480/69bd5487ly8g9ms31xpbvj20gk0gkdga.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'video_attention': 1, 'user_name_certificate': 1, 'weibo_display_fans': 1, 'relation_display': 1, 'suishoupai_2019': 6, 'hongrenjie_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}",True,嘉文钱,0,PPT设计师，平面设计师，业余插画师，可以接稿,"想找星空图但是没找到称心的？
那就自己画吧~
用Procreate可以三秒做一张！

【工具】iPad + Procreate + apple pencil
【方法】在Procreate里新建一个画布，调整背景颜色，一般星空就是深蓝紫色，然后选择「亮度」-「星空」画笔，挑一个画笔颜色（你希望的星星颜色），最后随便画几笔就可以了

——————

我真的没有骗你们去买iPad
Procreate 68块真的超值

#ppt365[超话]##PPT365#",IwCk97IOj
1,2020-03-01 23:15:50,4478048000469140,【日本 Apple 全新 MacBook 广告集结著名动画场景】早前 Apple 日本推出全新广告宣布片，以 MacBook 为主题作宣传，影片当中是集结多部日本动画中曾出现过 MacBook 或是其他 Apple 产品的场景吗，包括《未来のミライ》、《天気の子》、《君の名は。》、《ケロロ军曹》及《すべてがFになる》等。#HB科技 ... 全文,302,微博 weibo.com,"{'id': 2067301197, 'screen_name': 'HYPEBEAST時尚生活雜誌', 'profile_image_url': 'https://tvax1.sinaimg.cn/crop.0.0.1024.1024.180/7b38834dly8frufxj2gt3j20sg0sgq45.jpg?KID=imgbed,tva&Expires=1583145769&ssig=Bfh69kC9cA', 'profile_url': 'https://m.weibo.cn/u/2067301197?uid=2067301197&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 68856, 'verified': True, 'verified_type': 3, 'verified_type_ext': 0, 'verified_reason': 'HYPEBEAST  国际中文版', 'close_blue_v': False, 'description': 'HYPEBEAST 官方微博。 微信: hypebeastchina， 网站：http://hypebeast.cn/', 'gender': 'm', 'mbtype': 2, 'urank': 48, 'mbrank': 5, 'follow_me': False, 'following': False, 'followers_count': 2504706, 'follow_count': 371, 'cover_image_phone': 'https://wx4.sinaimg.cn/crop.0.0.640.640.640/7b38834dly1g6f239yr26j20u00u044s.jpg', 'avatar_hd': 'https://wx1.sinaimg.cn/orj480/7b38834dly8frufxj2gt3j20sg0sgq45.jpg', 'like': False, 'like_me': False, 'badge': {'dzwbqlx_2016': 1, 'follow_whitelist_video': 1, 'user_name_certificate': 1, 'wusi_2019': 1}}",True,HYPEBEAST時尚生活雜誌,3,HYPEBEAST 官方微博。 微信: hypebeastchina， 网站：http://hypebeast.cn/,【日本 Apple 全新 MacBook 广告集结著名动画场景】早前 Apple 日本推出全新广告宣布片，以 MacBook 为主题作宣传，影片当中是集结多部日本动画中曾出现过 MacBook 或是其他 Apple 产品的场景吗，包括《未来のミライ》、《天気の子》、《君の名は。》、《ケロロ军曹》及《すべてがFになる》等。#HB科技# http://t.cn/A67aQ0AI,IwKnS1Y2M
2,2020-03-01 21:42:50,4478024323998938,【来看看动画中的“水果电脑”】Apple Japan于近日公开了一支全新的广告，其中Apple官方汇总了一些动画桥段，这些桥段的共同点就是画面中都出现了一台MacBook（或者说看上去像MacBook）电脑。虽然有的时候电脑上的logo并非是一个“苹果”图案，但这并不影响我们把它看作是MacBook，详情： ... 全文,308,微博 weibo.com,"{'id': 1998412373, 'screen_name': '机核网', 'profile_image_url': 'https://tva1.sinaimg.cn/crop.0.0.179.179.180/771d5a55gw1emwpljaw12j2050050t8o.jpg?KID=imgbed,tva&Expires=1583145769&ssig=G1lGDC1pkD', 'profile_url': 'https://m.weibo.cn/u/1998412373?uid=1998412373&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 29679, 'verified': True, 'verified_type': 2, 'verified_type_ext': 50, 'verified_reason': '不止是游戏！机核网官方微博：www.gcores.com', 'close_blue_v': False, 'description': '不止是游戏', 'gender': 'm', 'mbtype': 12, 'urank': 48, 'mbrank': 7, 'follow_me': False, 'following': False, 'followers_count': 766534, 'follow_count': 1129, 'cover_image_phone': 'https://tva4.sinaimg.cn/crop.0.0.0.0/771d5a55jw1ejqetvyxqcj20l00l0tbm.jpg', 'avatar_hd': 'https://ww1.sinaimg.cn/orj480/771d5a55gw1emwpljaw12j2050050t8o.jpg', 'like': False, 'like_me': False, 'badge': {'anniversary': 1, 'bind_taobao': 1, 'dzwbqlx_2016': 1, 'user_name_certificate': 1, 'qixi_2018': 1, 'lol_s8': 1, 'relation_display': 1, 'hongbaofei_2019': 1, 'china_2019': 1, 'feiyan_2020': 1}}",True,机核网,2,不止是游戏,【来看看动画中的“水果电脑”】Apple Japan于近日公开了一支全新的广告，其中Apple官方汇总了一些动画桥段，这些桥段的共同点就是画面中都出现了一台MacBook（或者说看上去像MacBook）电脑。虽然有的时候电脑上的logo并非是一个“苹果”图案，但这并不影响我们把它看作是MacBook，详情：http://t.cn/A67axys3 http://t.cn/A67axysB,IwJLGgMj0
3,2020-03-01 23:31:50,4478052039974125,我一直不敢讲 虽然我坚持用Apple Music白嫖bts歌两年多了 但是我人脸依然只认识njgg和南韩三小只。 今天大学好友一个套姐又突然突击检查，我只能束手就擒被她骂了个半死。下次学校回乐清她肯定柳市就下了，不陪我到乐清车站了,215,iPhone客户端,"{'id': 5855864588, 'screen_name': 'IsKayo', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006oiBSQly8fy4bq7mymij30e80e80ti.jpg?KID=imgbed,tva&Expires=1583145769&ssig=vvM5Sn5rWY', 'profile_url': 'https://m.weibo.cn/u/5855864588?uid=5855864588&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 174, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '总有一个终点，花开满树是人间💮', 'gender': 'f', 'mbtype': 0, 'urank': 22, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 220, 'follow_count': 93, 'cover_image_phone': 'https://tva4.sinaimg.cn/crop.0.0.640.640.640/68f96449jw1ergqu7ie1sj20hs0hsaek.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/006oiBSQly8fy4bq7mymij30e80e80ti.jpg', 'like': False, 'like_me': False, 'badge': {'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'worldcup_2018': 34, 'qixi_2018': 1, 'wbzy_2018': 1}}",False,IsKayo,-1,总有一个终点，花开满树是人间💮,,IwKunFQIZ
4,2020-03-01 23:30:50,4478051947881706,#iPhone样机# 设计君每日欣赏超话 多角度苹果iPhone Xs手机样机Apple Xs Gold Mockup，素材见评论～,98,微博 weibo.com,"{'id': 3243464264, 'screen_name': 'UI设计君', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.160.60.480.480.180/c1535648gy1fd9jgdag5yj20m80gok1a.jpg?KID=imgbed,tva&Expires=1583145769&ssig=Iao2KpzcQk', 'profile_url': 'https://m.weibo.cn/u/3243464264?uid=3243464264&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 3227, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '设计美学博主', 'close_blue_v': False, 'description': '', 'gender': 'm', 'mbtype': 12, 'urank': 34, 'mbrank': 4, 'follow_me': False, 'following': False, 'followers_count': 22727, 'follow_count': 659, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/c1535648gy1fd9jgdag5yj20m80gok1a.jpg', 'like': False, 'like_me': False, 'badge': {'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'user_name_certificate': 1, 'wenda_v2': 1, 'memorial_2018': 1, 'hongbaofei_2019': 1, 'suishoupai_2019': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'macao_2019': 1, 'china_2019_2': 1, 'hongbao_2020': 2}}",True,UI设计君,0,,,IwKuex4oi
5,2020-03-01 23:27:50,4478051205132579,友情提示 今天App Store Notability 25rmb 没买过的可以冲一下 前提是你有iPad➕Apple Pencil或者计划买入 真的很好用！！！！！ Goodnotes 也可以 反正小爷都买了,160,iPhone XS Max,"{'id': 6266482957, 'screen_name': 'FunSivan', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006Q5wtLly8g9b50u00z3j30e80e8dgi.jpg?KID=imgbed,tva&Expires=1583145769&ssig=x8lhpev6oT', 'profile_url': 'https://m.weibo.cn/u/6266482957?uid=6266482957&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 246, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '你用彩虹的浪漫 溫柔包裝', 'gender': 'm', 'mbtype': 11, 'urank': 26, 'mbrank': 3, 'follow_me': False, 'following': False, 'followers_count': 435, 'follow_count': 617, 'cover_image_phone': 'https://wx1.sinaimg.cn/crop.0.0.640.640.640/006Q5wtLly1g9b52cl22kj30e80e8gmg.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/006Q5wtLly8g9b50u00z3j30e80e8dgi.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'user_name_certificate': 1, 'hongbaofei_2019': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'hongkong_2019': 1, 'hongbao_2020': 3}}",False,FunSivan,-1,你用彩虹的浪漫 溫柔包裝,,IwKt2lxdx
6,2020-03-01 23:23:50,4478050143629359,Apple music也太会保护版权了，不小心按了一下截屏，回去一看这个画面都是黑的,91,iPhone XS Max,"{'id': 3735246835, 'screen_name': '琪实超夸张', 'profile_image_url': 'https://tvax4.sinaimg.cn/crop.0.0.512.512.180/dea357f3ly8g9qv8826hsj20e80e8t9c.jpg?KID=imgbed,tva&Expires=1583145769&ssig=yg43zuR4xF', 'profile_url': 'https://m.weibo.cn/u/3735246835?uid=3735246835&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 1187, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '长期处于激动、啰嗦、超爱Justin Bieber的状态', 'gender': 'f', 'mbtype': 11, 'urank': 23, 'mbrank': 3, 'follow_me': False, 'following': False, 'followers_count': 265, 'follow_count': 331, 'cover_image_phone': 'https://wx1.sinaimg.cn/crop.0.0.640.640.640/dea357f3ly1g54aslc0y8j20e80e8gmt.jpg', 'avatar_hd': 'https://wx4.sinaimg.cn/orj480/dea357f3ly8g9qv8826hsj20e80e8t9c.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'zongyiji': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'dailv_2018': 6, 'hongbaofei_2019': 1, 'status_visible': 1, 'suishoupai_2019': 6, 'hongrenjie_2019': 1, 'china_2019': 1, 'hongkong_2019': 1, 'wbzy_2019': 1, 'starlight_2019': 1, 'hongbao_2020': 2}}",False,琪实超夸张,-1,长期处于激动、啰嗦、超爱Justin Bieber的状态,,IwKrkfea3
,created_at,member_id,text,textLength,source,user,verified,screen_name,verified_type,user_description,longText,bid
0,2020-03-01 21:51:11,4478024323998938,【来看看动画中的“水果电脑”】Apple Japan于近日公开了一支全新的广告，其中Apple官方汇总了一些动画桥段，这些桥段的共同点就是画面中都出现了一台MacBook（或者说看上去像MacBook）电脑。虽然有的时候电脑上的logo并非是一个“苹果”图案，但这并不影响我们把它看作是MacBook，详情： ... 全文,308,微博 weibo.com,"{'id': 1998412373, 'screen_name': '机核网', 'profile_image_url': 'https://tva1.sinaimg.cn/crop.0.0.179.179.180/771d5a55gw1emwpljaw12j2050050t8o.jpg?KID=imgbed,tva&Expires=1583146269&ssig=PR27d70yfZ', 'profile_url': 'https://m.weibo.cn/u/1998412373?uid=1998412373&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 29679, 'verified': True, 'verified_type': 2, 'verified_type_ext': 50, 'verified_reason': '不止是游戏！机核网官方微博：www.gcores.com', 'close_blue_v': False, 'description': '不止是游戏', 'gender': 'm', 'mbtype': 12, 'urank': 48, 'mbrank': 7, 'follow_me': False, 'following': False, 'followers_count': 766534, 'follow_count': 1129, 'cover_image_phone': 'https://tva4.sinaimg.cn/crop.0.0.0.0/771d5a55jw1ejqetvyxqcj20l00l0tbm.jpg', 'avatar_hd': 'https://ww1.sinaimg.cn/orj480/771d5a55gw1emwpljaw12j2050050t8o.jpg', 'like': False, 'like_me': False, 'badge': {'anniversary': 1, 'bind_taobao': 1, 'dzwbqlx_2016': 1, 'user_name_certificate': 1, 'qixi_2018': 1, 'lol_s8': 1, 'relation_display': 1, 'hongbaofei_2019': 1, 'china_2019': 1, 'feiyan_2020': 1}}",True,机核网,2,不止是游戏,【来看看动画中的“水果电脑”】Apple Japan于近日公开了一支全新的广告，其中Apple官方汇总了一些动画桥段，这些桥段的共同点就是画面中都出现了一台MacBook（或者说看上去像MacBook）电脑。虽然有的时候电脑上的logo并非是一个“苹果”图案，但这并不影响我们把它看作是MacBook，详情：http://t.cn/A67axys3 http://t.cn/A67axysB,IwJLGgMj0
1,2020-03-01 02:51:11,4477738171840551,想找星空图但是没找到称心的？ 那就自己画吧~ 用Procreate可以三秒做一张！ 【工具】iPad + Procreate + apple pencil 【方法】在Procreate里新建一个画布，调整背景颜色，一般星空就是深蓝紫色，然后选择「亮度」-「星空」画笔，挑一个画笔颜色（你希望的星星颜色），最后随便画几笔就可以了 ——— ... 全文,359,ppt365超话,"{'id': 1774015623, 'screen_name': '嘉文钱', 'profile_image_url': 'https://tvax2.sinaimg.cn/crop.34.24.538.538.180/69bd5487ly8g9ms31xpbvj20gk0gkdga.jpg?KID=imgbed,tva&Expires=1583146269&ssig=BzCfGWFCeM', 'profile_url': 'https://m.weibo.cn/u/1774015623?uid=1774015623&luicode=10000011&lfid=100103type%3D1%26q%3DApple', 'statuses_count': 1956, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '设计美学博主 ppt365超话主持人', 'close_blue_v': False, 'description': 'PPT设计师，平面设计师，业余插画师，可以接稿', 'gender': 'm', 'mbtype': 12, 'urank': 47, 'mbrank': 7, 'follow_me': False, 'following': False, 'followers_count': 93822, 'follow_count': 681, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/9d44112bjw1f1xl1c10tuj20hs0hs0tw.jpg', 'avatar_hd': 'https://wx2.sinaimg.cn/orj480/69bd5487ly8g9ms31xpbvj20gk0gkdga.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'video_attention': 1, 'user_name_certificate': 1, 'weibo_display_fans': 1, 'relation_display': 1, 'suishoupai_2019': 6, 'hongrenjie_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}",True,嘉文钱,0,PPT设计师，平面设计师，业余插画师，可以接稿,"想找星空图但是没找到称心的？
那就自己画吧~
用Procreate可以三秒做一张！

【工具】iPad + Procreate + apple pencil
【方法】在Procreate里新建一个画布，调整背景颜色，一般星空就是深蓝紫色，然后选择「亮度」-「星空」画笔，挑一个画笔颜色（你希望的星星颜色），最后随便画几笔就可以了

——————

我真的没有骗你们去买iPad
Procreate 68块真的超值

#ppt365[超话]##PPT365#",IwCk97IOj
