created_at,id,text,lang,user_info
"February 14, 2020",4.47183E+15,GitHub Enterprise 免费了，已包含在 Microsoft for Startups 中了。 有兴趣的创业团队可以了解一下。 网页链接,zh,"{'id': 2093492691, 'screen_name': '程序员的那些事', 'profile_image_url': 'https://tva2.sinaimg.cn/crop.0.0.180.180.180/7cc829d3jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1583217258&ssig=ZOHVcMHgHI', 'profile_url': 'https://m.weibo.cn/u/2093492691?uid=2093492691&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 25277, 'verified': False, 'verified_type': 220, 'close_blue_v': False, 'description': '有热门 IT 技术资讯，欢迎@ 我们', 'gender': 'm', 'mbtype': 12, 'urank': 48, 'mbrank': 5, 'follow_me': False, 'following': False, 'followers_count': 1137250, 'follow_count': 374, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://ww2.sinaimg.cn/orj480/7cc829d3jw1e8qgp5bmzyj2050050aa8.jpg', 'like': False, 'like_me': False, 'badge': {'dzwbqlx_2016': 1, 'follow_whitelist_video': 1, 'user_name_certificate': 1, 'relation_display': 1, 'hongbao_2020': 2}}"
"February 17, 2020",4.47289E+15,【[图]性能提升13%：Edge v81将开启微软浏览器全新篇章】 [图]性能提升13%：Edge v81将开启微软浏览器全新篇章 在微软近日发布的官方博文中表示，Dev和Canary通道、基于Chromium的Microsoft Edge浏览器版本在浏览性能上有巨大的改进，最高可提速13%。这不仅意味着在专业测试中会有更好的性能表现，而且在,zh,"{'id': 2769378403, 'screen_name': 'cnBeta', 'profile_image_url': 'https://tva2.sinaimg.cn/crop.0.0.512.512.180/a5115c63jw8es8eqieaiaj20e80e80t8.jpg?KID=imgbed,tva&Expires=1583217082&ssig=J77hfUoNb%2F', 'profile_url': 'https://m.weibo.cn/u/2769378403?uid=2769378403&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 14029, 'verified': True, 'verified_type': 3, 'verified_type_ext': 50, 'verified_reason': 'cnBeta.COM 官方微博', 'close_blue_v': False, 'description': 'cnBeta.COM 是目前国内领先的即时科技资讯网站，消息速度快，报导立场公正中立，网友讨论气氛浓厚，在IT业界拥有相当的影响力。', 'gender': 'm', 'mbtype': 0, 'urank': 43, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 1262045, 'follow_count': 18, 'cover_image_phone': 'https://tva3.sinaimg.cn/crop.0.0.640.640.640/6ce2240djw1e9odcin216j20hs0hstd8.jpg', 'avatar_hd': 'https://ww2.sinaimg.cn/orj480/a5115c63jw8es8eqieaiaj20e80e80t8.jpg', 'like': False, 'like_me': False, 'badge': {'enterprise': 1, 'bind_taobao': 1, 'user_name_certificate': 1}}"
"February 17, 2020",4.47291E+15,win+R打开运行框，打regedit回车，定位HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\windows\CurrentVersion\Uninstall，把“新速”或者关联的全干掉// @fyjs地摊上的马甲 :本小白没进过注册表// @飞熊出没FYJS : 注册表搜索“新速”，发现的全部删除。然后重启进F8安全模式，用控制版面里的“程序”卸载。,zh,"{'id': 7278779882, 'screen_name': '肥肥小炸虾', 'profile_image_url': 'https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/007WB19wly8gbattb5iv8j30u00u0wfo.jpg?KID=imgbed,tva&Expires=1583217187&ssig=%2B0EzXUDXTC', 'profile_url': 'https://m.weibo.cn/u/7278779882?uid=7278779882&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 3579, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '头条文章作者', 'close_blue_v': False, 'description': 'ある～日 森の中?? クマさん～に 出会っ～た??', 'gender': 'm', 'mbtype': 2, 'urank': 8, 'mbrank': 2, 'follow_me': False, 'following': False, 'followers_count': 13170, 'follow_count': 665, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx3.sinaimg.cn/orj480/007WB19wly8gbattb5iv8j30u00u0wfo.jpg', 'like': False, 'like_me': False, 'badge': {'user_name_certificate': 1, 'wenda_v2': 1, 'china_2019': 1, 'feiyan_2020': 1}}"
"February 17, 2020",4.4729E+15,#Microsoft Power BI 365# DAY362： 完成了相对复杂的参数化的工作，动态指标加动态次坐标,zh,"{'id': 1142600347, 'screen_name': 'DataInfographic', 'profile_image_url': 'https://tvax1.sinaimg.cn/crop.0.0.512.512.180/441ab29bly8fzvzg0resyj20e80e8mxd.jpg?KID=imgbed,tva&Expires=1583217082&ssig=JKu1WLJe9t', 'profile_url': 'https://m.weibo.cn/u/1142600347?uid=1142600347&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 1273, 'verified': True, 'verified_type': 0, 'verified_type_ext': 0, 'verified_reason': '教育博主', 'close_blue_v': False, 'description': '零售与商业地产营运数据分析 | Power BI , Power Pivot , Power Query | VBA | CAD', 'gender': 'm', 'mbtype': 12, 'urank': 36, 'mbrank': 6, 'follow_me': False, 'following': False, 'followers_count': 6909, 'follow_count': 399, 'cover_image_phone': 'https://tva4.sinaimg.cn/crop.0.0.640.640.640/638f41a8jw1ewj858xp05j20hs0hs77s.jpg', 'avatar_hd': 'https://wx1.sinaimg.cn/orj480/441ab29bly8fzvzg0resyj20e80e8mxd.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'user_name_certificate': 1, 'suishoupai_2018': 1, 'hongbao_2020': 2}}"
"February 17, 2020",4.47295E+15,Nerdio获800万美元A轮融资 据BusinessWire，云管理服务商Nerdio近日完成800万美元A轮融资，由MK Capital领投，Nerdio创始团队成员跟投，包括联创兼CEO Vadim Vladimirskiy及CRO Joseph Landes。本轮融资将用于Nerdio的一系列产品开发，以及对Microsoft Azure产品的支持优化，同时也会扩大市场运营，继 ... 全文,zh,"{'id': 1913229413, 'screen_name': '包装范', 'profile_image_url': 'https://tva3.sinaimg.cn/crop.0.0.664.664.180/72099065jw8f851p5ex9cj20ig0igabx.jpg?KID=imgbed,tva&Expires=1583217187&ssig=Rhwo2vd4ZI', 'profile_url': 'https://m.weibo.cn/u/1913229413?uid=1913229413&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 7096, 'verified': False, 'verified_type': 220, 'close_blue_v': False, 'description': 'Just Paper-让包装个性化，助力品牌升级。Just Box -创意包装，盒器生财！13501979518', 'gender': 'm', 'mbtype': 0, 'urank': 35, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 1738, 'follow_count': 2754, 'cover_image_phone': 'https://tva3.sinaimg.cn/crop.0.0.0.640.640/6ce2240djw1e9uwupbjn7j20hs0hstc2.jpg', 'avatar_hd': 'https://ww3.sinaimg.cn/orj480/72099065jw8f851p5ex9cj20ig0igabx.jpg', 'like': False, 'like_me': False, 'badge': {'anniversary': 1, 'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'travel_2017': 1, 'cz_wed_2017': 1, 'panda': 1, 'user_name_certificate': 1, 'super_star_2018': 1, 'wenda_v2': 1, 'dailv_2018': 1, 'wbzy_2018': 1, 'memorial_2018': 1, 'suishoupai_2019': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'wbzy_2019': 1, 'hongbao_2020': 2, 'feiyan_2020': 1}}"
"February 14, 2020",4.47195E+15,Microsoft Store在哪儿下载啊?? 不会真要用Windows PowerShell写代码吧 我手咋这么jian真是烦死人??,zh,"{'id': 2774141663, 'screen_name': '段姿睿', 'profile_image_url': 'https://tvax1.sinaimg.cn/crop.0.0.664.664.180/a55a0adfly8gcexlo45mrj20ig0igabl.jpg?KID=imgbed,tva&Expires=1583217258&ssig=nbl0z0yCWX', 'profile_url': 'https://m.weibo.cn/u/2774141663?uid=2774141663&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 2590, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '????', 'gender': 'f', 'mbtype': 2, 'urank': 9, 'mbrank': 1, 'follow_me': False, 'following': False, 'followers_count': 96, 'follow_count': 579, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/9d44112bjw1f1xl1c10tuj20hs0hs0tw.jpg', 'avatar_hd': 'https://wx1.sinaimg.cn/orj480/a55a0adfly8gcexlo45mrj20ig0igabl.jpg', 'like': False, 'like_me': False, 'badge': {'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'wenchuan_10th': 1, 'status_visible': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'hongbao_2020': 2}}"
"February 17, 2020",4.47296E+15,当你想干一件事的时候 全世界都与你为敌？ 打开2003版的office结果是2010版？？ 没有03 07版的office 咱用2010版的试试？ 思蒙2010都有Microsoft公式3.0 要么是安琪的WPS里有Microsoft公式3.0 偏偏我的啥都没？ 换家里的台式电脑 只有WPS?？？？ 天无绝人之路？？ 不 有绝人之路 我哭了,zh,"{'id': 5836129742, 'screen_name': 'Troublemaker阿宁', 'profile_image_url': 'https://tvax4.sinaimg.cn/crop.0.0.996.996.180/006mXNWSly8g393lmetttj30ro0ro0uk.jpg?KID=imgbed,tva&Expires=1583217082&ssig=qBentz4kv3', 'profile_url': 'https://m.weibo.cn/u/5836129742?uid=5836129742&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 703, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '我频繁记录着 因为生活值得', 'gender': 'f', 'mbtype': 12, 'urank': 23, 'mbrank': 1, 'follow_me': False, 'following': False, 'followers_count': 240, 'follow_count': 412, 'cover_image_phone': 'https://wx3.sinaimg.cn/crop.0.0.640.640.640/006mXNWSly1gcg0ug724vj30u00u0dtc.jpg', 'avatar_hd': 'https://wx4.sinaimg.cn/orj480/006mXNWSly8g393lmetttj30ro0ro0uk.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'panda': 1, 'user_name_certificate': 1, 'dailv_2018': 1, 'status_visible': 1, 'hongrenjie_2019': 1, 'china_2019': 1, 'dzwbqlx_2019': 3, 'wbzy_2019': 1, 'gongjiri_2019': 1, 'hongbao_2020': 3}}"
"February 14, 2020",4.47197E+15,尼玛的 好好的一个驱动，装完还得到Microsoft store上搞个控制面板，我特么心态崩了…… 到底是谁在无中生有、暗度陈仓、凭空想想,zh,"{'id': 2159837880, 'screen_name': 'MixEnergy', 'profile_image_url': 'https://tvax2.sinaimg.cn/crop.0.0.996.996.180/80bc82b8ly8fh899uimw9j20ro0rodko.jpg?KID=imgbed,tva&Expires=1583217258&ssig=awhPTmc64W', 'profile_url': 'https://m.weibo.cn/u/2159837880?uid=2159837880&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 1388, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': 'Go Time!', 'gender': 'm', 'mbtype': 0, 'urank': 33, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 75, 'follow_count': 188, 'cover_image_phone': 'https://tva3.sinaimg.cn/crop.0.0.640.640.640/6ce2240djw1e9odcin216j20hs0hstd8.jpg', 'avatar_hd': 'https://wx2.sinaimg.cn/orj480/80bc82b8ly8fh899uimw9j20ro0rodko.jpg', 'like': False, 'like_me': False, 'badge': {'unread_pool': 1, 'unread_pool_ext': 1, 'user_name_certificate': 1, 'hongbao_2020': 2}}"
"February 17, 2020",4.47298E+15,这就是Microsoft吗 i了i了,zh,"{'id': 3188110302, 'screen_name': 'MagicStarLIN', 'profile_image_url': 'https://tvax4.sinaimg.cn/crop.0.0.828.828.180/be06b3dely8gbcej67thqj20n00n0gms.jpg?KID=imgbed,tva&Expires=1583217082&ssig=pHyxoEMapc', 'profile_url': 'https://m.weibo.cn/u/3188110302?uid=3188110302&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 346, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': '从没飞行过的我天马行空几遍', 'gender': 'm', 'mbtype': 12, 'urank': 36, 'mbrank': 6, 'follow_me': False, 'following': False, 'followers_count': 109, 'follow_count': 236, 'cover_image_phone': 'https://wx1.sinaimg.cn/crop.0.0.640.640.640/be06b3dely1gar798rcujj20e80e8q3l.jpg', 'avatar_hd': 'https://wx4.sinaimg.cn/orj480/be06b3dely8gbcej67thqj20n00n0gms.jpg', 'like': False, 'like_me': False, 'badge': {'bind_taobao': 1, 'unread_pool': 1, 'unread_pool_ext': 1, 'dzwbqlx_2016': 1, 'user_name_certificate': 1, 'suishoupai_2018': 6, 'wenchuan_10th': 1, 'super_star_2018': 1, 'qixi_2018': 1, 'double11_2018': 1, 'hongbaofei_2019': 1, 'fu_2019': 1, 'hongrenjie_2019': 1, 'hongbao_2020': 2}}"
"February 14, 2020",4.472E+15,"OMG,终于解锁了。 搞了2 hrs， 最后居然就在Microsoft Acc 里",zh,"{'id': 7007734120, 'screen_name': '小美人真好日', 'profile_image_url': 'https://tvax2.sinaimg.cn/crop.0.0.1024.1024.180/007EfJLGly8gbh9e6qjh7j30sg0sgamy.jpg?KID=imgbed,tva&Expires=1583217258&ssig=C6vh0y%2FtV%2F', 'profile_url': 'https://m.weibo.cn/u/7007734120?uid=7007734120&luicode=10000011&lfid=100103type%3D1%26q%3DMicrosoft', 'statuses_count': 616, 'verified': False, 'verified_type': -1, 'close_blue_v': False, 'description': 'Now I am become death, the destroyer of worlds. \u200b\u200b\u200b', 'gender': 'm', 'mbtype': 0, 'urank': 4, 'mbrank': 0, 'follow_me': False, 'following': False, 'followers_count': 8, 'follow_count': 91, 'cover_image_phone': 'https://tva1.sinaimg.cn/crop.0.0.640.640.640/549d0121tw1egm1kjly3jj20hs0hsq4f.jpg', 'avatar_hd': 'https://wx2.sinaimg.cn/orj480/007EfJLGly8gbh9e6qjh7j30sg0sgamy.jpg', 'like': False, 'like_me': False, 'badge': {'panda': 1, 'user_name_certificate': 1, 'suishoupai_2019': 1, 'taohuayuan_2019': 1, 'dzwbqlx_2019': 4, 'hongbao_2020': 2}}"
